total_rooms,total_bedrooms
749.0,218.0
751.0,184.0
752.0,159.0
753.0,193.0
754.0,175.0
755.0,157.0
756.0,128.5
757.0,124.0
759.0,141.0
760.0,196.5
761.0,306.0
762.0,193.0
763.0,191.0
764.0,200.0
765.0,171.0
766.0,268.0
767.0,171.0
768.0,152.0
769.0,205.0
770.0,116.0
771.0,166.0
772.0,186.5
773.0,131.5
774.0,122.0
775.0,179.0
777.0,166.5
778.0,137.0
779.0,145.0
782.0,153.0
783.0,184.0
784.0,144.5
785.0,153.0
786.0,230.0
787.0,181.0
788.0,181.0
789.0,204.0
790.0,187.5
791.0,174.0
792.0,217.5
793.0,156.5
794.0,182.0
795.0,172.0
796.0,215.0
797.0,162.0
798.0,327.0
800.0,313.0
801.0,287.5
802.0,151.0
803.0,267.0
804.0,121.0
805.0,140.0
806.0,158.0
807.0,174.0
808.0,163.0
809.0,180.0
810.0,161.5
811.0,168.0
812.0,349.5
814.0,216.0
815.0,229.0
816.0,159.0
817.0,206.0
818.0,195.0
819.0,191.0
820.0,209.0
821.0,170.0
822.0,180.0
823.0,158.5
825.0,173.0
826.0,158.5
827.0,195.0
828.0,159.5
829.0,130.0
830.0,190.0
831.0,166.5
832.0,204.5
833.0,176.0
834.0,166.0
835.0,184.5
836.0,175.0
837.0,213.0
838.0,161.0
839.0,174.0
840.0,329.0
841.0,169.0
842.0,186.0
843.0,167.0
844.0,157.0
845.0,172.5
847.0,198.5
848.0,194.0
849.0,276.0
850.0,228.0
851.0,231.0
852.0,237.0
853.0,296.0
854.0,238.5
855.0,208.0
856.0,165.5
857.0,196.0
858.0,228.0
859.0,181.5
861.0,199.0
862.0,178.0
863.0,160.0
864.0,184.0
865.0,193.0
866.0,181.0
868.0,244.0
869.0,207.0
870.0,170.0
871.0,262.0
872.0,203.0
873.0,226.0
874.0,153.0
875.0,200.0
876.0,170.0
877.0,197.0
878.0,167.0
879.0,257.0
880.0,177.0
881.0,203.5
882.0,195.0
883.0,236.0
885.0,303.0
886.0,190.0
888.0,206.0
889.0,146.5
890.0,255.0
891.0,203.0
892.0,185.0
893.0,177.0
894.0,231.0
895.0,181.0
896.0,228.5
897.0,168.0
898.0,244.0
900.0,211.0
901.0,187.0
902.0,260.5
903.0,212.0
904.0,183.5
905.0,199.0
906.0,168.0
907.0,180.0
908.0,200.0
909.0,215.0
910.0,205.5
911.0,238.0
912.0,190.5
913.0,194.5
914.0,171.5
915.0,234.0
916.0,178.0
917.0,224.0
918.0,181.5
919.0,210.5
920.0,202.0
921.0,223.0
922.0,173.5
923.0,165.5
924.0,289.0
925.0,242.5
926.0,230.0
927.0,207.5
928.0,250.0
929.0,257.0
930.0,191.0
931.0,213.5
932.0,249.0
933.0,219.0
934.0,228.0
935.0,224.0
936.0,257.0
937.0,348.0
938.0,240.0
939.0,187.0
940.0,208.0
941.0,218.0
942.0,193.0
943.0,213.0
944.0,211.0
945.0,149.0
946.0,226.0
947.0,257.0
948.0,198.0
949.0,224.0
950.0,244.0
951.0,235.0
952.0,189.0
953.0,231.0
954.0,231.5
955.0,192.0
956.0,201.0
957.0,191.0
958.0,245.0
959.0,204.0
961.0,218.0
962.0,218.5
963.0,159.0
964.0,215.0
965.0,198.0
966.0,191.0
967.0,175.0
968.0,240.0
969.0,206.0
970.0,217.0
971.0,216.5
972.0,244.5
973.0,221.0
974.0,211.0
975.0,312.5
976.0,202.0
977.0,265.5
978.0,194.5
979.0,291.5
980.0,239.0
981.0,254.0
982.0,197.0
983.0,175.0
984.0,177.0
986.0,284.0
987.0,248.0
988.0,310.0
989.0,215.0
990.0,233.0
991.0,232.5
992.0,308.5
993.0,180.5
994.0,242.0
995.0,220.0
996.0,296.0
997.0,262.0
998.0,211.0
999.0,232.0
1000.0,236.0
1001.0,205.0
1003.0,217.5
1004.0,221.0
1005.0,212.0
1006.0,230.0
1007.0,224.0
1008.0,184.5
1009.0,231.0
1010.0,226.5
1011.0,198.0
1012.0,245.0
1013.0,191.0
1014.0,223.0
1015.0,356.0
1016.0,202.0
1017.0,209.0
1018.0,213.0
1019.0,179.5
1020.0,169.0
1021.0,230.0
1022.0,220.5
1024.0,191.0
1025.0,242.0
1026.0,221.0
1027.0,217.0
1028.0,188.0
1029.0,239.0
1030.0,214.0
1031.0,201.0
1032.0,190.0
1033.0,209.0
1034.0,239.0
1035.0,229.0
1036.0,203.5
1037.0,207.0
1038.0,220.0
1039.0,256.0
1040.0,261.0
1041.0,275.0
1042.0,211.5
1043.0,196.0
1044.0,219.0
1045.0,361.0
1046.0,216.0
1047.0,270.0
1048.0,185.0
1049.0,235.0
1050.0,245.0
1051.0,237.0
1052.0,221.0
1053.0,240.5
1054.0,239.0
1055.0,280.0
1056.0,260.0
1057.0,240.5
1058.0,230.0
1059.0,274.5
1060.0,268.0
1061.0,205.0
1062.0,287.5
1063.0,199.0
1064.0,237.5
1065.0,214.5
1066.0,219.0
1067.0,194.0
1068.0,198.0
1069.0,262.0
1070.0,199.0
1071.0,245.5
1072.0,239.5
1073.0,254.0
1074.0,180.0
1075.0,205.5
1076.0,219.0
1077.0,275.0
1078.0,207.0
1079.0,222.0
1080.0,166.0
1081.0,241.0
1082.0,291.0
1083.0,217.0
1084.0,271.0
1085.0,227.0
1086.0,249.0
1087.0,303.5
1088.0,209.0
1089.0,212.0
1090.0,164.0
1091.0,264.5
1092.0,213.0
1093.0,256.0
1095.0,271.0
1096.0,240.0
1097.0,254.0
1098.0,290.5
1099.0,215.5
1100.0,285.0
1101.0,285.0
1102.0,224.0
1103.0,214.5
1104.0,216.0
1105.0,249.0
1106.0,225.0
1107.0,227.0
1108.0,276.5
1109.0,283.0
1110.0,216.0
1111.0,252.0
1112.0,222.0
1113.0,228.0
1114.0,172.0
1115.0,268.0
1116.0,244.0
1117.0,273.0
1118.0,300.0
1119.0,277.0
1120.0,283.0
1121.0,231.0
1122.0,287.0
1124.0,238.0
1125.0,273.0
1126.0,268.5
1127.0,260.0
1128.0,240.0
1129.0,235.5
1130.0,228.5
1131.0,278.5
1132.0,266.0
1133.0,244.0
1134.0,218.0
1135.0,225.0
1136.0,365.0
1137.0,268.0
1138.0,228.0
1139.0,239.5
1140.0,300.0
1141.0,239.0
1142.0,236.0
1143.0,208.0
1144.0,235.0
1145.0,235.5
1146.0,263.5
1147.0,259.0
1148.0,233.0
1149.0,257.0
1150.0,246.5
1151.0,213.5
1152.0,341.0
1153.0,235.0
1155.0,329.0
1156.0,241.0
1157.0,297.0
1158.0,248.5
1159.0,238.0
1160.0,255.5
1161.0,274.5
1162.0,235.0
1164.0,257.0
1165.0,278.0
1166.0,236.0
1167.0,276.0
1168.0,253.0
1169.0,240.5
1170.0,248.0
1171.0,323.0
1172.0,233.0
1173.0,231.0
1174.0,307.5
1175.0,300.0
1176.0,291.0
1177.0,230.5
1178.0,261.0
1179.0,318.5
1180.0,239.0
1181.0,271.0
1182.0,306.0
1183.0,240.5
1184.0,290.0
1185.0,237.0
1186.0,300.0
1187.0,261.0
1188.0,227.0
1189.0,275.0
1190.0,275.0
1191.0,242.0
1192.0,289.0
1193.0,263.0
1194.0,272.0
1195.0,256.0
1196.0,294.0
1197.0,269.0
1199.0,224.0
1200.0,344.5
1201.0,292.0
1202.0,290.0
1203.0,289.5
1204.0,355.0
1205.0,330.0
1206.0,274.0
1207.0,231.0
1208.0,294.5
1209.0,393.0
1210.0,250.0
1211.0,261.0
1212.0,304.0
1213.0,203.0
1214.0,250.0
1215.0,282.0
1216.0,232.5
1217.0,238.0
1218.0,336.5
1219.0,240.0
1220.0,267.0
1221.0,331.0
1222.0,250.0
1223.0,215.0
1224.0,237.0
1225.0,250.0
1226.0,262.0
1227.0,286.0
1228.0,235.0
1229.0,248.0
1230.0,262.0
1231.0,235.5
1232.0,286.5
1233.0,306.0
1234.0,351.0
1235.0,341.5
1236.0,273.0
1237.0,256.0
1238.0,288.0
1239.0,256.5
1240.0,279.5
1241.0,244.0
1242.0,270.0
1243.0,312.0
1244.0,266.0
1245.0,229.0
1246.0,300.0
1247.0,315.0
1248.0,280.5
1249.0,262.5
1250.0,272.0
1251.0,279.0
1252.0,267.0
1253.0,259.0
1254.0,272.0
1255.0,330.5
1256.0,280.5
1257.0,251.0
1258.0,249.5
1259.0,362.0
1260.0,299.0
1261.0,315.0
1262.0,280.0
1263.0,248.0
1264.0,271.0
1265.0,254.0
1266.0,348.0
1267.0,304.5
1268.0,282.0
1269.0,290.0
1270.0,276.0
1271.0,301.0
1272.0,314.0
1273.0,343.0
1274.0,282.0
1275.0,238.5
1276.0,256.0
1277.0,293.0
1278.0,309.5
1279.0,285.0
1280.0,254.0
1281.0,289.0
1282.0,230.0
1283.0,251.0
1284.0,280.5
1285.0,270.0
1286.0,271.0
1287.0,287.5
1288.0,238.5
1289.0,262.0
1290.0,203.0
1291.0,314.0
1292.0,303.0
1293.0,272.0
1294.0,272.0
1295.0,280.5
1296.0,291.5
1297.0,294.5
1298.0,306.0
1299.0,254.0
1300.0,269.0
1301.0,303.0
1302.0,245.0
1303.0,293.0
1304.0,278.0
1305.0,249.0
1306.0,293.0
1307.0,283.0
1308.0,332.0
1309.0,289.0
1310.0,267.0
1311.0,259.0
1312.0,297.5
1313.0,281.5
1314.0,297.0
1315.0,298.0
1316.0,249.0
1317.0,245.0
1318.0,237.0
1319.0,295.0
1320.0,255.5
1321.0,272.0
1322.0,335.0
1323.0,239.0
1324.0,314.0
1325.0,275.5
1326.0,290.5
1327.0,230.5
1328.0,290.0
1329.0,282.0
1330.0,216.0
1331.0,346.0
1332.0,252.0
1333.0,311.5
1334.0,336.0
1335.0,281.0
1336.0,301.5
1337.0,260.0
1338.0,250.0
1339.0,271.0
1340.0,255.0
1341.0,247.5
1342.0,259.0
1343.0,241.0
1344.0,238.5
1345.0,279.5
1346.0,315.5
1347.0,291.5
1348.0,236.0
1349.0,350.5
1350.0,276.5
1351.0,273.5
1352.0,272.0
1353.0,379.0
1354.0,286.0
1355.0,214.0
1356.0,319.0
1357.0,249.0
1358.0,272.0
1359.0,317.0
1360.0,282.0
1361.0,301.5
1362.0,247.0
1363.0,395.0
1364.0,266.5
1365.0,262.5
1366.0,375.0
1367.0,306.5
1368.0,322.0
1369.0,328.5
1370.0,287.0
1371.0,284.5
1372.0,373.0
1373.0,274.0
1374.0,248.0
1375.0,336.5
1376.0,257.0
1377.0,319.0
1378.0,258.0
1379.0,273.0
1380.0,322.0
1381.0,278.0
1382.0,286.0
1383.0,248.5
1384.0,299.0
1385.0,356.0
1386.0,296.0
1387.0,255.0
1388.0,286.0
1389.0,252.0
1390.0,387.5
1391.0,298.0
1392.0,322.0
1393.0,297.5
1394.0,324.5
1395.0,269.0
1396.0,295.0
1397.0,271.0
1398.0,261.0
1399.0,303.0
1400.0,308.0
1401.0,294.0
1402.0,305.5
1403.0,315.0
1404.0,252.0
1405.0,326.0
1406.0,337.0
1407.0,362.0
1408.0,290.5
1409.0,271.0
1410.0,295.0
1411.0,312.0
1412.0,296.5
1413.0,325.5
1414.0,303.0
1415.0,296.0
1416.0,273.0
1417.0,353.0
1418.0,372.5
1419.0,336.5
1420.0,312.5
1421.0,315.0
1422.0,295.0
1423.0,278.0
1424.0,300.0
1425.0,317.0
1426.0,287.0
1427.0,292.5
1428.0,291.5
1429.0,339.5
1430.0,310.0
1431.0,416.0
1432.0,331.5
1433.0,280.0
1434.0,327.5
1435.0,304.0
1436.0,336.0
1437.0,295.0
1438.0,348.0
1439.0,261.0
1440.0,267.0
1441.0,294.0
1442.0,322.5
1443.0,261.0
1444.0,330.0
1445.0,309.0
1446.0,295.0
1447.0,276.0
1448.0,378.0
1449.0,235.0
1450.0,509.0
1451.0,317.5
1452.0,309.0
1453.0,306.0
1454.0,254.0
1455.0,335.0
1456.0,444.0
1457.0,330.5
1458.0,268.0
1459.0,310.5
1460.0,311.0
1461.0,340.0
1462.0,274.0
1463.0,289.5
1464.0,273.0
1465.0,346.0
1466.0,254.0
1467.0,328.0
1468.0,298.0
1469.0,336.5
1470.0,312.0
1471.0,321.0
1472.0,302.0
1473.0,297.0
1474.0,343.0
1475.0,323.0
1476.0,344.0
1477.0,300.5
1478.0,369.0
1479.0,336.5
1480.0,358.0
1481.0,317.0
1482.0,310.0
1483.0,266.5
1484.0,305.0
1485.0,290.0
1486.0,340.0
1487.0,288.0
1488.0,293.5
1489.0,333.0
1490.0,285.5
1491.0,290.0
1492.0,360.5
1493.0,278.0
1494.0,297.5
1495.0,305.5
1496.0,271.0
1497.0,264.0
1498.0,359.0
1499.0,358.0
1500.0,319.0
1501.0,337.0
1502.0,262.5
1503.0,370.0
1504.0,294.0
1505.0,262.0
1506.0,294.0
1507.0,295.0
1508.0,270.5
1509.0,303.0
1510.0,327.0
1511.0,315.0
1512.0,360.5
1513.0,369.0
1514.0,301.0
1515.0,358.0
1516.0,344.0
1517.0,311.0
1518.0,307.0
1519.0,302.5
1520.0,317.5
1521.0,320.0
1522.0,230.0
1523.0,344.5
1524.0,374.5
1525.0,363.0
1526.0,337.0
1527.0,322.5
1528.0,321.0
1529.0,317.0
1530.0,301.0
1531.0,279.0
1532.0,292.0
1533.0,300.0
1534.0,315.0
1535.0,283.0
1536.0,325.0
1537.0,347.0
1538.0,260.0
1539.0,299.0
1540.0,343.0
1541.0,302.0
1542.0,352.5
1543.0,302.0
1544.0,290.0
1545.0,334.0
1546.0,371.0
1547.0,426.0
1548.0,290.0
1549.0,275.0
1550.0,265.0
1551.0,297.0
1552.0,290.0
1553.0,461.0
1554.0,308.0
1555.0,349.0
1557.0,322.5
1558.0,314.0
1559.0,383.5
1560.0,336.5
1561.0,252.5
1562.0,369.0
1563.0,300.0
1564.0,351.0
1565.0,296.0
1566.0,352.0
1567.0,362.0
1568.0,370.0
1569.0,368.0
1570.0,378.0
1571.0,300.5
1572.0,409.5
1573.0,361.0
1574.0,380.5
1575.0,324.0
1576.0,351.5
1577.0,279.0
1578.0,317.0
1579.0,295.0
1580.0,318.0
1581.0,293.5
1582.0,343.0
1583.0,369.5
1584.0,312.5
1585.0,345.0
1586.0,322.0
1587.0,320.0
1588.0,360.0
1589.0,259.0
1590.0,355.0
1591.0,364.0
1592.0,331.0
1593.0,353.0
1594.0,321.0
1595.0,311.5
1596.0,317.0
1597.0,326.5
1598.0,398.0
1599.0,294.0
1600.0,403.5
1601.0,337.5
1602.0,293.5
1603.0,330.5
1604.0,280.0
1605.0,279.5
1606.0,354.0
1607.0,356.0
1608.0,314.0
1609.0,442.0
1610.0,347.0
1611.0,361.0
1612.0,338.0
1613.0,299.0
1614.0,320.0
1615.0,360.5
1616.0,400.0
1617.0,306.0
1618.0,395.0
1619.0,340.0
1620.0,324.5
1621.0,339.0
1622.0,347.5
1623.0,356.5
1624.0,337.0
1625.0,383.0
1626.0,350.0
1627.0,336.0
1628.0,305.5
1629.0,317.5
1630.0,357.5
1631.0,309.5
1632.0,376.0
1633.0,348.0
1634.0,373.0
1635.0,422.0
1636.0,380.0
1637.0,321.0
1638.0,420.5
1639.0,352.0
1640.0,349.0
1641.0,354.0
1642.0,348.5
1643.0,298.0
1644.0,372.0
1645.0,393.0
1646.0,399.5
1647.0,357.0
1648.0,319.0
1649.0,398.0
1650.0,352.5
1651.0,326.5
1652.0,319.0
1653.0,292.0
1654.0,304.0
1655.0,379.5
1656.0,376.5
1657.0,360.5
1658.0,308.5
1659.0,274.0
1660.0,325.0
1661.0,322.0
1662.0,377.0
1663.0,274.5
1664.0,378.0
1665.0,302.0
1666.0,341.0
1667.0,383.5
1668.0,324.0
1669.0,385.0
1670.0,256.0
1671.0,378.0
1672.0,308.5
1673.0,382.0
1674.0,303.0
1675.0,335.5
1676.0,321.0
1677.0,346.0
1678.0,367.0
1679.0,476.5
1680.0,312.0
1681.0,360.0
1682.0,355.5
1683.0,328.0
1684.0,341.0
1685.0,341.0
1686.0,369.0
1687.0,349.5
1688.0,313.0
1689.0,387.5
1690.0,353.0
1691.0,353.0
1692.0,293.0
1693.0,285.5
1694.0,296.0
1695.0,348.5
1696.0,384.0
1697.0,360.5
1698.0,363.5
1699.0,351.0
1700.0,354.5
1701.0,396.0
1702.0,412.0
1703.0,350.0
1704.0,347.0
1705.0,400.0
1706.0,406.0
1707.0,308.0
1708.0,391.0
1709.0,422.5
1710.0,326.5
1711.0,413.0
1712.0,325.0
1713.0,311.5
1714.0,421.0
1715.0,414.0
1716.0,402.0
1717.0,351.0
1718.0,354.0
1719.0,385.0
1720.0,399.0
1721.0,316.5
1722.0,363.0
1723.0,391.5
1724.0,363.0
1725.0,363.0
1726.0,289.0
1727.0,386.0
1728.0,392.0
1729.0,383.0
1730.0,350.0
1731.0,400.0
1732.0,307.0
1733.0,361.0
1734.0,365.0
1735.0,380.5
1736.0,313.0
1737.0,445.0
1738.0,412.5
1739.0,359.0
1740.0,360.0
1741.0,323.0
1742.0,339.0
1743.0,351.5
1744.0,536.0
1745.0,374.0
1746.0,363.0
1747.0,317.0
1748.0,329.0
1749.0,342.0
1750.0,349.5
1751.0,390.0
1752.0,403.0
1753.0,361.0
1754.0,353.0
1755.0,331.0
1756.0,370.5
1757.0,464.0
1758.0,347.0
1759.0,366.0
1760.0,366.0
1761.0,443.0
1762.0,314.0
1764.0,361.0
1765.0,318.0
1766.0,410.0
1767.0,280.0
1768.0,409.5
1769.0,410.0
1770.0,370.0
1771.0,363.5
1772.0,471.0
1773.0,345.0
1774.0,307.0
1775.0,296.0
1776.0,417.0
1777.0,369.0
1778.0,315.5
1779.0,345.5
1780.0,289.0
1781.0,344.0
1782.0,384.0
1783.0,395.0
1784.0,311.5
1785.0,360.0
1786.0,348.0
1787.0,329.0
1788.0,405.0
1789.0,424.0
1790.0,356.0
1791.0,357.5
1792.0,404.0
1793.0,364.0
1794.0,357.5
1795.0,354.0
1796.0,384.5
1797.0,343.0
1798.0,395.0
1799.0,394.0
1800.0,301.0
1801.0,384.0
1802.0,368.0
1803.0,304.0
1804.0,284.0
1805.0,303.0
1806.0,373.5
1807.0,442.0
1808.0,375.0
1809.0,640.0
1810.0,371.0
1811.0,348.5
1812.0,337.0
1813.0,407.0
1814.0,327.0
1815.0,488.0
1816.0,330.0
1817.0,400.0
1818.0,391.0
1819.0,389.0
1820.0,321.0
1821.0,403.5
1822.0,365.5
1823.0,457.0
1824.0,354.0
1825.0,441.5
1826.0,319.0
1827.0,382.0
1828.0,453.0
1829.0,424.5
1830.0,361.0
1831.0,356.0
1832.0,442.5
1833.0,355.0
1834.0,390.5
1835.0,396.5
1836.0,335.5
1837.0,343.0
1838.0,490.5
1839.0,324.0
1840.0,309.0
1841.0,391.0
1842.0,426.5
1843.0,347.5
1844.0,382.0
1845.0,342.5
1846.0,419.0
1847.0,371.0
1848.0,438.5
1849.0,451.0
1851.0,344.0
1852.0,375.5
1853.0,392.0
1854.0,383.0
1855.0,527.0
1856.0,444.0
1857.0,572.0
1858.0,366.5
1859.0,337.0
1860.0,400.0
1861.0,430.0
1862.0,359.0
1863.0,497.0
1864.0,357.0
1865.0,382.0
1866.0,364.0
1867.0,403.0
1868.0,356.0
1869.0,382.0
1870.0,348.0
1871.0,342.0
1872.0,357.0
1873.0,351.0
1874.0,367.5
1875.0,363.0
1876.0,356.5
1877.0,452.5
1878.0,342.5
1879.0,312.0
1880.0,435.0
1881.0,379.0
1882.0,428.0
1883.0,298.0
1884.0,515.5
1885.0,398.0
1887.0,356.0
